group1,group2,hallmark1,hallmark2,r1,r2,z_stat,pvalue,pvalue_fdr,significant_fdr
Young,Middle,Genomic Instability,Telomere Attrition,0.18421556651922735,0.2590787958174304,-0.5038235861591104,0.6143853517067179,0.9161886112552673,False
Young,Middle,Genomic Instability,Epigenetic Alterations,0.053963524934704694,0.012884211477223967,0.26305384332126885,0.7925090790314904,0.9203331240365694,False
Young,Middle,Genomic Instability,Loss of Proteostasis,-0.009074193877898465,-0.012878929038337306,0.024336150813545412,0.9805844774835778,0.9897488183946394,False
Young,Middle,Genomic Instability,Deregulated Nutrient Sensing,-0.42261709692534405,-0.34190958519490056,-0.6051462246613544,0.5450818428174624,0.9161886112552673,False
Young,Middle,Genomic Instability,Mitochondrial Dysfunction,-0.4769614477900357,-0.5925562067746832,1.0396069380703263,0.29852255220515167,0.8663803911719024,False
Young,Middle,Genomic Instability,Cellular Senescence,0.22718063962279353,0.4177422451343045,-1.3669692713065782,0.17163493742457392,0.7032902643404984,False
Young,Middle,Genomic Instability,Stem Cell Exhaustion,0.16838969165680703,0.19594049064479657,-0.18226250901138383,0.8553767193110229,0.9667625556690128,False
Young,Middle,Genomic Instability,Altered Intercellular Communication,-0.13229767403346956,-0.04093431877411618,-0.5891569952903315,0.5557559626258266,0.9161886112552673,False
Young,Middle,Telomere Attrition,Epigenetic Alterations,0.03015883825165869,0.07890873777637254,-0.31277291282597236,0.7544531960342388,0.9161886112552673,False
Young,Middle,Telomere Attrition,Loss of Proteostasis,-0.07747932565306628,0.06936328068214546,-0.9408407398029532,0.34678647984000754,0.8917366624457337,False
Young,Middle,Telomere Attrition,Deregulated Nutrient Sensing,-0.31951514327244157,-0.5039267828690785,1.4290659355970834,0.1529852831410095,0.6884337741345429,False
Young,Middle,Telomere Attrition,Mitochondrial Dysfunction,0.06625098423162303,-0.44843434175200036,3.5116865279878717,0.0004452728700082611,0.016029823320297402,True
Young,Middle,Telomere Attrition,Cellular Senescence,0.3059947649577629,0.2013957112496708,0.7158712151088001,0.47407087381988555,0.9161886112552673,False
Young,Middle,Telomere Attrition,Stem Cell Exhaustion,0.2083453923363246,0.26042966434652737,-0.352572778265396,0.724408748424069,0.9161886112552673,False
Young,Middle,Telomere Attrition,Altered Intercellular Communication,-0.42546689594486486,0.09789230605594845,-3.5338682165156077,0.0004095252130718699,0.016029823320297402,True
Young,Middle,Epigenetic Alterations,Loss of Proteostasis,0.12708816582934634,-0.1324367205275054,1.669215358208169,0.09507470746251559,0.5704482447750936,False
Young,Middle,Epigenetic Alterations,Deregulated Nutrient Sensing,-0.3587619915048647,-0.31286099019790986,-0.33097099307968403,0.7406663960828718,0.9161886112552673,False
Young,Middle,Epigenetic Alterations,Mitochondrial Dysfunction,-0.14115774375864687,-0.13179082399747172,-0.061043580021359886,0.9513245019099229,0.9821831678293788,False
Young,Middle,Epigenetic Alterations,Cellular Senescence,-0.052869248416146396,0.0879828810878503,-0.9025942868051904,0.36674125983600303,0.9001830923247347,False
Young,Middle,Epigenetic Alterations,Stem Cell Exhaustion,0.1202002059942628,0.23773254665427052,-0.7775989059014518,0.43680550623801895,0.9161886112552673,False
Young,Middle,Epigenetic Alterations,Altered Intercellular Communication,-0.37582887154299915,-0.15566897971326304,-1.5237187350291803,0.12757898731830852,0.6220799478473306,False
Young,Middle,Loss of Proteostasis,Deregulated Nutrient Sensing,-0.30796109895894214,-0.04610641856387948,-1.7405496622787606,0.081762547726012,0.5704482447750936,False
Young,Middle,Loss of Proteostasis,Mitochondrial Dysfunction,-0.24005550023427322,-0.15335189066561483,-0.5772691399948392,0.5637576571621294,0.9161886112552673,False
Young,Middle,Loss of Proteostasis,Cellular Senescence,-0.22609532079438782,-0.22451145907720332,-0.010671284296945195,0.9914857086118483,0.9914857086118483,False
Young,Middle,Loss of Proteostasis,Stem Cell Exhaustion,-0.16054138027739262,-0.17246908705206013,0.07845992490116922,0.937462207208672,0.9821831678293788,False
Young,Middle,Loss of Proteostasis,Altered Intercellular Communication,-0.009823157626729114,-0.16219481899085075,0.9837337856017498,0.3252464233656316,0.8663803911719024,False
Young,Middle,Deregulated Nutrient Sensing,Mitochondrial Dysfunction,0.2486965700129353,0.35387177827395133,-0.7408543888930513,0.4587817333759532,0.9161886112552673,False
Young,Middle,Deregulated Nutrient Sensing,Cellular Senescence,-0.42112386522170514,-0.5484798013377485,1.0689891391237913,0.28507456336327364,0.8552236900898209,False
Young,Middle,Deregulated Nutrient Sensing,Stem Cell Exhaustion,-0.3924871679193728,-0.5596896949249082,1.3919456902024372,0.16393884456047125,0.7032902643404984,False
Young,Middle,Deregulated Nutrient Sensing,Altered Intercellular Communication,0.07070199780386281,-0.2668394368150049,2.2018305766313957,0.027677278353880678,0.4811485060095207,False
Young,Middle,Mitochondrial Dysfunction,Cellular Senescence,-0.149551405369516,-0.4523013686255025,2.1546970179511296,0.031185551315431898,0.4811485060095207,False
Young,Middle,Mitochondrial Dysfunction,Stem Cell Exhaustion,-0.22476453138437377,-0.16028185396019762,-0.4284510622113978,0.6683227555317701,0.9161886112552673,False
Young,Middle,Mitochondrial Dysfunction,Altered Intercellular Communication,-0.3641006652314033,-0.42235660123421104,0.44098027391054667,0.659227277773256,0.9161886112552673,False
Young,Middle,Cellular Senescence,Stem Cell Exhaustion,0.2869205854714292,0.398158237967422,-0.807437952839628,0.4194142084346699,0.9161886112552673,False
Young,Middle,Cellular Senescence,Altered Intercellular Communication,0.07141732317041832,0.32808238901551123,-1.7212769699205253,0.08520057649505591,0.5704482447750936,False
Young,Middle,Stem Cell Exhaustion,Altered Intercellular Communication,-0.048681040866878335,-0.07627941641933561,0.1772086596117058,0.8593444939280115,0.9667625556690128,False
Young,Old,Genomic Instability,Telomere Attrition,0.18421556651922735,0.197127570083983,-0.09595008137485905,0.9235602188477567,0.9821831678293788,False
Young,Old,Genomic Instability,Epigenetic Alterations,0.053963524934704694,-0.08217574890235382,0.9765712314651793,0.3287814673213292,0.8663803911719024,False
Young,Old,Genomic Instability,Loss of Proteostasis,-0.009074193877898465,-0.18720664890474678,1.2915665524248863,0.19650729349461082,0.7318202654282059,False
Young,Old,Genomic Instability,Deregulated Nutrient Sensing,-0.42261709692534405,-0.21251442423082537,-1.6832931141271843,0.09231836276455006,0.5704482447750936,False
Young,Old,Genomic Instability,Mitochondrial Dysfunction,-0.4769614477900357,-0.4613609331106069,-0.1432491796376026,0.8860933905587973,0.9821831678293788,False
Young,Old,Genomic Instability,Cellular Senescence,0.22718063962279353,0.2707103702793213,-0.3323722708058967,0.7396081742103783,0.9161886112552673,False
Young,Old,Genomic Instability,Stem Cell Exhaustion,0.16838969165680703,0.10502094164423019,0.4625822124318483,0.6436638609680174,0.9161886112552673,False
Young,Old,Genomic Instability,Altered Intercellular Communication,-0.13229767403346956,-0.028037242789179462,-0.752120887949673,0.45197836359421517,0.9161886112552673,False
Young,Old,Telomere Attrition,Epigenetic Alterations,0.03015883825165869,0.08553765393827993,-0.39799133409681536,0.6906365736405828,0.9161886112552673,False
Young,Old,Telomere Attrition,Loss of Proteostasis,-0.07747932565306628,-0.04279278356573193,-0.2493101953490138,0.80312084552232,0.9227345884724527,False
Young,Old,Telomere Attrition,Deregulated Nutrient Sensing,-0.31951514327244157,-0.28129382733819114,-0.300900315953466,0.7634905093793893,0.9161886112552673,False
Young,Old,Telomere Attrition,Mitochondrial Dysfunction,0.06625098423162303,-0.2569758247940834,2.3574475703604656,0.01840105355886784,0.39746275687154536,False
Young,Old,Telomere Attrition,Cellular Senescence,0.3059947649577629,0.025229833886801254,2.0829695628970204,0.03725399802522689,0.5029289733405631,False
Young,Old,Telomere Attrition,Stem Cell Exhaustion,0.2083453923363246,0.07170393636277213,0.9997460960812741,0.31743339809243376,0.8663803911719024,False
Young,Old,Telomere Attrition,Altered Intercellular Communication,-0.42546689594486486,-0.09027036180383158,-2.605324618734447,0.009178725110377154,0.24782557798018315,False
Young,Old,Epigenetic Alterations,Loss of Proteostasis,0.12708816582934634,0.08506936620639854,0.3043597364781715,0.7608538392019614,0.9161886112552673,False
Young,Old,Epigenetic Alterations,Deregulated Nutrient Sensing,-0.3587619915048647,-0.3532570325193483,-0.04514141500962224,0.9639945906473533,0.9821831678293788,False
Young,Old,Epigenetic Alterations,Mitochondrial Dysfunction,-0.14115774375864687,-0.2300653166401429,0.6598800118982344,0.5093308320689325,0.9161886112552673,False
Young,Old,Epigenetic Alterations,Cellular Senescence,-0.052869248416146396,0.01215128887278796,-0.4659563964048316,0.6412467118603824,0.9161886112552673,False
Young,Old,Epigenetic Alterations,Stem Cell Exhaustion,0.1202002059942628,0.22031886927745783,-0.7390446503807517,0.4598798848700122,0.9161886112552673,False
Young,Old,Epigenetic Alterations,Altered Intercellular Communication,-0.37582887154299915,-0.11222240733877845,-2.022899228071993,0.04308353816315839,0.5170024579579007,False
Young,Old,Loss of Proteostasis,Deregulated Nutrient Sensing,-0.30796109895894214,-0.19983721984905037,-0.8287068117271605,0.4072703303615012,0.9161886112552673,False
Young,Old,Loss of Proteostasis,Mitochondrial Dysfunction,-0.24005550023427322,-0.20463539803876413,-0.2668628573666368,0.7895747553443017,0.9203331240365694,False
Young,Old,Loss of Proteostasis,Cellular Senescence,-0.22609532079438782,-0.17212164415839876,-0.40256784793476497,0.6872661664115571,0.9161886112552673,False
Young,Old,Loss of Proteostasis,Stem Cell Exhaustion,-0.16054138027739262,-0.06457282383394243,-0.6965989964628192,0.48605378406619415,0.9161886112552673,False
Young,Old,Loss of Proteostasis,Altered Intercellular Communication,-0.009823157626729114,-0.08622283644231873,0.5486171463288458,0.5832682163968916,0.9161886112552673,False
Young,Old,Deregulated Nutrient Sensing,Mitochondrial Dysfunction,0.2486965700129353,0.4640179602957158,-1.778717926769316,0.0752860186362065,0.5704482447750936,False
Young,Old,Deregulated Nutrient Sensing,Cellular Senescence,-0.42112386522170514,-0.3519106997538661,-0.5831360292333607,0.559801731084629,0.9161886112552673,False
Young,Old,Deregulated Nutrient Sensing,Stem Cell Exhaustion,-0.3924871679193728,-0.3448922403799404,-0.3945742705930648,0.6931571050729189,0.9161886112552673,False
Young,Old,Deregulated Nutrient Sensing,Altered Intercellular Communication,0.07070199780386281,-0.41741080268405845,3.69047764177905,0.00022383336298104788,0.016029823320297402,True
Young,Old,Mitochondrial Dysfunction,Cellular Senescence,-0.149551405369516,-0.2153814219803198,0.4878379011889213,0.6256646629779976,0.9161886112552673,False
Young,Old,Mitochondrial Dysfunction,Stem Cell Exhaustion,-0.22476453138437377,-0.21828398973396065,-0.048800844700044754,0.9610780090050295,0.9821831678293788,False
Young,Old,Mitochondrial Dysfunction,Altered Intercellular Communication,-0.3641006652314033,-0.45999156064023616,0.8284711298444302,0.40740373831412313,0.9161886112552673,False
Young,Old,Cellular Senescence,Stem Cell Exhaustion,0.2869205854714292,0.18545643746520055,0.7703564597904617,0.4410884734972089,0.9161886112552673,False
Young,Old,Cellular Senescence,Altered Intercellular Communication,0.07141732317041832,0.12362619355709528,-0.37753668398672147,0.7057748079680574,0.9161886112552673,False
Young,Old,Stem Cell Exhaustion,Altered Intercellular Communication,-0.048681040866878335,-0.03751302440767867,-0.08012153747398734,0.9361405933853606,0.9821831678293788,False
Middle,Old,Genomic Instability,Telomere Attrition,0.2590787958174304,0.197127570083983,0.454471690716648,0.6494893630846654,0.9161886112552673,False
Middle,Old,Genomic Instability,Epigenetic Alterations,0.012884211477223967,-0.08217574890235382,0.6620957519822337,0.5079098581235697,0.9161886112552673,False
Middle,Old,Genomic Instability,Loss of Proteostasis,-0.012878929038337306,-0.18720664890474678,1.2273470208660149,0.21969218967982163,0.741461140169398,False
Middle,Old,Genomic Instability,Deregulated Nutrient Sensing,-0.34190958519490056,-0.21251442423082537,-0.9763245314320725,0.3289036670189629,0.8663803911719024,False
Middle,Old,Genomic Instability,Mitochondrial Dysfunction,-0.5925562067746832,-0.4613609331106069,-1.2690299757285517,0.20443037311089052,0.7359493431992059,False
Middle,Old,Genomic Instability,Cellular Senescence,0.4177422451343045,0.2707103702793213,1.1631333878102614,0.24477538764316997,0.7775218195724223,False
Middle,Old,Genomic Instability,Stem Cell Exhaustion,0.19594049064479657,0.10502094164423019,0.6471601392781001,0.5175283062835709,0.9161886112552673,False
Middle,Old,Genomic Instability,Altered Intercellular Communication,-0.04093431877411618,-0.028037242789179462,-0.08976072382372668,0.9284773600008474,0.9821831678293788,False
Middle,Old,Telomere Attrition,Epigenetic Alterations,0.07890873777637254,0.08553765393827993,-0.046394071464157416,0.9629961617130086,0.9821831678293788,False
Middle,Old,Telomere Attrition,Loss of Proteostasis,0.06936328068214546,-0.04279278356573193,0.7805988813331686,0.43503844993549734,0.9161886112552673,False
Middle,Old,Telomere Attrition,Deregulated Nutrient Sensing,-0.5039267828690785,-0.28129382733819114,-1.8453818870847283,0.06498200609015527,0.5704482447750936,False
Middle,Old,Telomere Attrition,Mitochondrial Dysfunction,-0.44843434175200036,-0.2569758247940834,-1.5284118215412734,0.12641032155948792,0.6220799478473306,False
Middle,Old,Telomere Attrition,Cellular Senescence,0.2013957112496708,0.025229833886801254,1.243964393511905,0.2135126678874123,0.741461140169398,False
Middle,Old,Telomere Attrition,Stem Cell Exhaustion,0.26042966434652737,0.07170393636277213,1.353729897440817,0.1758225660851246,0.7032902643404984,False
Middle,Old,Telomere Attrition,Altered Intercellular Communication,0.09789230605594845,-0.09027036180383158,1.3118929347479371,0.18955626172787066,0.7311455809503583,False
Middle,Old,Epigenetic Alterations,Loss of Proteostasis,-0.1324367205275054,0.08506936620639854,-1.5188441309111524,0.12880173465713107,0.6220799478473306,False
Middle,Old,Epigenetic Alterations,Deregulated Nutrient Sensing,-0.31286099019790986,-0.3532570325193483,0.3159176451641879,0.7520650184017037,0.9161886112552673,False
Middle,Old,Epigenetic Alterations,Mitochondrial Dysfunction,-0.13179082399747172,-0.2300653166401429,0.7069332497430695,0.47960796004762507,0.9161886112552673,False
Middle,Old,Epigenetic Alterations,Cellular Senescence,0.0879828810878503,0.01215128887278796,0.5287170243514273,0.5970017655342548,0.9161886112552673,False
Middle,Old,Epigenetic Alterations,Stem Cell Exhaustion,0.23773254665427052,0.22031886927745783,0.12775444172155248,0.8983433047736447,0.9821831678293788,False
Middle,Old,Epigenetic Alterations,Altered Intercellular Communication,-0.15566897971326304,-0.11222240733877845,-0.30758491574536734,0.7583981995996678,0.9161886112552673,False
Middle,Old,Loss of Proteostasis,Deregulated Nutrient Sensing,-0.04610641856387948,-0.19983721984905037,1.087364739950583,0.27687564761985073,0.8543591412269679,False
Middle,Old,Loss of Proteostasis,Mitochondrial Dysfunction,-0.15335189066561483,-0.20463539803876413,0.368386208331858,0.7125852796831562,0.9161886112552673,False
Middle,Old,Loss of Proteostasis,Cellular Senescence,-0.22451145907720332,-0.17212164415839876,-0.3791970971159889,0.7045415070580521,0.9161886112552673,False
Middle,Old,Loss of Proteostasis,Stem Cell Exhaustion,-0.17246908705206013,-0.06457282383394243,-0.76150867086882,0.44635330183275956,0.9161886112552673,False
Middle,Old,Loss of Proteostasis,Altered Intercellular Communication,-0.16219481899085075,-0.08622283644231873,-0.5366655996932288,0.5914986221399015,0.9161886112552673,False
Middle,Old,Deregulated Nutrient Sensing,Mitochondrial Dysfunction,0.35387177827395133,0.4640179602957158,-0.9214549907699054,0.35681292984771984,0.8961813121756684,False
Middle,Old,Deregulated Nutrient Sensing,Cellular Senescence,-0.5484798013377485,-0.3519106997538661,-1.7279897287779233,0.08399006586120991,0.5704482447750936,False
Middle,Old,Deregulated Nutrient Sensing,Stem Cell Exhaustion,-0.5596896949249082,-0.3448922403799404,-1.8959698797767668,0.057964027489078765,0.5704482447750936,False
Middle,Old,Deregulated Nutrient Sensing,Altered Intercellular Communication,-0.2668394368150049,-0.41741080268405845,1.189346479953403,0.23430335210361308,0.7668109705209156,False
Middle,Old,Mitochondrial Dysfunction,Cellular Senescence,-0.4523013686255025,-0.2153814219803198,-1.8684110317601215,0.061704800567850084,0.5704482447750936,False
Middle,Old,Mitochondrial Dysfunction,Stem Cell Exhaustion,-0.16028185396019762,-0.21828398973396065,0.41831827328199434,0.6757144310863483,0.9161886112552673,False
Middle,Old,Mitochondrial Dysfunction,Altered Intercellular Communication,-0.42235660123421104,-0.45999156064023616,0.32493458648871587,0.7452305797595431,0.9161886112552673,False
Middle,Old,Cellular Senescence,Stem Cell Exhaustion,0.398158237967422,0.18545643746520055,1.625450199421223,0.10406666698064959,0.5915368438900082,False
Middle,Old,Cellular Senescence,Altered Intercellular Communication,0.32808238901551123,0.12362619355709528,1.5043938421140086,0.13247998889341298,0.6220799478473306,False
Middle,Old,Stem Cell Exhaustion,Altered Intercellular Communication,-0.07627941641933561,-0.03751302440767867,-0.2703902755627005,0.786860020557083,0.9203331240365694,False
