hallmark_1,hallmark_2,corr_young,corr_old,corr_change,z_statistic,p_value,significant,pvalue_fdr,significant_fdr
Genomic Instability,Telomere Attrition,0.18421556651922738,0.19712757008398302,0.012912003564755636,0.09595008137485905,0.9235602188477567,False,0.9639945906473542,False
Genomic Instability,Epigenetic Alterations,0.053963524934704694,-0.08217574890235382,-0.1361392738370585,-0.9765712314651793,0.3287814673213292,False,0.9326564657678554,False
Genomic Instability,Loss of Proteostasis,-0.009074193877898465,-0.18720664890474678,-0.17813245502684832,-1.2915665524248863,0.19650729349461082,False,0.8842828207257487,False
Genomic Instability,Deregulated Nutrient Sensing,-0.42261709692534416,-0.2125144242308254,0.21010267269451877,1.6832931141271856,0.09231836276454986,False,0.4747801513605421,False
Genomic Instability,Mitochondrial Dysfunction,-0.4769614477900357,-0.4613609331106069,0.0156005146794288,0.1432491796376026,0.8860933905587973,False,0.9639945906473542,False
Genomic Instability,Cellular Senescence,0.22718063962279356,0.2707103702793213,0.043529730656527765,0.3323722708058967,0.7396081742103782,False,0.9326564657678554,False
Genomic Instability,Stem Cell Exhaustion,0.16838969165680703,0.10502094164423019,-0.06336875001257684,-0.4625822124318483,0.6436638609680174,False,0.9326564657678554,False
Genomic Instability,Altered Intercellular Communication,-0.1322976740334696,-0.028037242789179462,0.10426043124429013,0.7521208879496732,0.45197836359421495,False,0.9326564657678554,False
Telomere Attrition,Epigenetic Alterations,0.030158838251658687,0.08553765393827993,0.055378815686621244,0.3979913340968154,0.6906365736405828,False,0.9326564657678554,False
Telomere Attrition,Loss of Proteostasis,-0.07747932565306628,-0.04279278356573193,0.034686542087334356,0.2493101953490138,0.80312084552232,False,0.9326564657678554,False
Telomere Attrition,Deregulated Nutrient Sensing,-0.31951514327244157,-0.2812938273381912,0.03822131593425038,0.3009003159534656,0.7634905093793896,False,0.9326564657678554,False
Telomere Attrition,Mitochondrial Dysfunction,0.06625098423162303,-0.2569758247940834,-0.3232268090257064,-2.3574475703604656,0.018401053558867897,True,0.22081264270641476,False
Telomere Attrition,Cellular Senescence,0.30599476495776284,0.02522983388680125,-0.28076493107096157,-2.08296956289702,0.037253998025226887,True,0.3102014747747409,False
Telomere Attrition,Stem Cell Exhaustion,0.20834539233632457,0.07170393636277211,-0.13664145597355246,-0.999746096081274,0.317433398092434,False,0.9326564657678554,False
Telomere Attrition,Altered Intercellular Communication,-0.4254668959448648,-0.09027036180383159,0.33519653414103323,2.605324618734447,0.009178725110377206,True,0.1652170519867897,False
Epigenetic Alterations,Loss of Proteostasis,0.12708816582934634,0.08506936620639854,-0.0420187996229478,-0.3043597364781715,0.7608538392019613,False,0.9326564657678554,False
Epigenetic Alterations,Deregulated Nutrient Sensing,-0.35876199150486465,-0.35325703251934837,0.005504958985516284,0.045141415009621044,0.9639945906473542,False,0.9639945906473542,False
Epigenetic Alterations,Mitochondrial Dysfunction,-0.14115774375864684,-0.2300653166401429,-0.08890757288149606,-0.6598800118982344,0.5093308320689325,False,0.9326564657678554,False
Epigenetic Alterations,Cellular Senescence,-0.05286924841614639,0.012151288872787958,0.06502053728893435,0.4659563964048315,0.6412467118603824,False,0.9326564657678554,False
Epigenetic Alterations,Stem Cell Exhaustion,0.1202002059942628,0.22031886927745783,0.10011866328319503,0.7390446503807517,0.4598798848700123,False,0.9326564657678554,False
Epigenetic Alterations,Altered Intercellular Communication,-0.37582887154299915,-0.11222240733877845,0.26360646420422074,2.022899228071993,0.043083538163158464,True,0.3102014747747409,False
Loss of Proteostasis,Deregulated Nutrient Sensing,-0.30796109895894214,-0.1998372198490503,0.10812387910989182,0.828706811727161,0.40727033036150084,False,0.9326564657678554,False
Loss of Proteostasis,Mitochondrial Dysfunction,-0.24005550023427324,-0.20463539803876413,0.03542010219550912,0.266862857366637,0.7895747553443013,False,0.9326564657678554,False
Loss of Proteostasis,Cellular Senescence,-0.2260953207943878,-0.1721216441583987,0.05397367663598909,0.4025678479347652,0.6872661664115569,False,0.9326564657678554,False
Loss of Proteostasis,Stem Cell Exhaustion,-0.16054138027739262,-0.06457282383394243,0.09596855644345019,0.6965989964628192,0.48605378406619426,False,0.9326564657678554,False
Loss of Proteostasis,Altered Intercellular Communication,-0.009823157626729114,-0.08622283644231872,-0.07639967881558961,-0.5486171463288458,0.5832682163968916,False,0.9326564657678554,False
Deregulated Nutrient Sensing,Mitochondrial Dysfunction,0.24869657001293527,0.4640179602957158,0.21532139028278052,1.778717926769316,0.07528601863620654,False,0.45171611181723925,False
Deregulated Nutrient Sensing,Cellular Senescence,-0.4211238652217052,-0.3519106997538661,0.06921316546783912,0.5831360292333615,0.5598017310846286,False,0.9326564657678554,False
Deregulated Nutrient Sensing,Stem Cell Exhaustion,-0.3924871679193728,-0.34489224037994043,0.0475949275394324,0.39457427059306444,0.6931571050729193,False,0.9326564657678554,False
Deregulated Nutrient Sensing,Altered Intercellular Communication,0.07070199780386281,-0.4174108026840585,-0.48811280048792133,-3.6904776417790512,0.00022383336298115175,True,0.008058001067321463,True
Mitochondrial Dysfunction,Cellular Senescence,-0.14955140536951603,-0.2153814219803198,-0.06583001661080376,-0.48783790118892106,0.6256646629779978,False,0.9326564657678554,False
Mitochondrial Dysfunction,Stem Cell Exhaustion,-0.22476453138437377,-0.21828398973396065,0.006480541650413119,0.048800844700044754,0.9610780090050295,False,0.9639945906473542,False
Mitochondrial Dysfunction,Altered Intercellular Communication,-0.3641006652314033,-0.4599915606402362,-0.09589089540883294,-0.8284711298444305,0.40740373831412313,False,0.9326564657678554,False
Cellular Senescence,Stem Cell Exhaustion,0.2869205854714292,0.18545643746520055,-0.10146414800622863,-0.7703564597904617,0.4410884734972089,False,0.9326564657678554,False
Cellular Senescence,Altered Intercellular Communication,0.07141732317041834,0.12362619355709525,0.05220887038667692,0.3775366839867212,0.7057748079680575,False,0.9326564657678554,False
Stem Cell Exhaustion,Altered Intercellular Communication,-0.04868104086687833,-0.03751302440767866,0.011168016459199667,0.08012153747398734,0.9361405933853606,False,0.9639945906473542,False
